Date,Polarity,Keyword_buy,Keyword_sell,Word_Count
2024-08-14,0.0,0,0,0.024154589371980673
2024-08-16,0.0,0,0,0.02576489533011272
2024-08-17,0.0,0,0,0.13526570048309178
2024-08-18,0.0,0,0,0.04186795491143317
2024-08-19,0.0,0,0,0.03985507246376811
2024-08-20,0.01,0,0,0.04589371980676328
2024-08-21,0.1,0,0,0.06183574879227053
2024-08-22,0.1875,0,0,0.04830917874396135
2024-08-23,0.05,0,0,0.04830917874396135
2024-08-25,0.03409090909090909,0,0,0.04710144927536232
2024-08-26,0.013333333333333334,0,0,0.05958132045088566
2024-08-27,0.02727272727272727,0,0,0.027053140096618356
2024-08-28,0.028999999999999998,0,0,0.05615942028985507
2024-08-29,0.03792207792207792,0,0,0.08902691511387163
2024-08-30,0.0,0,0,0.06521739130434782
2024-08-31,0.13125,0,0,0.13285024154589373
2024-09-01,0.2,0,0,0.05120772946859903
2024-09-02,0.13529545454545455,0,0,0.107487922705314
2024-09-03,0.06785714285714285,0,0,0.0717736369910283
2024-09-04,0.052083333333333336,0,0,0.07286634460547504
2024-09-05,0.1801948051948052,0,0,0.06280193236714976
2024-09-06,0.12428030303030303,0,0,0.05990338164251208
2024-09-07,0.0,0,0,0.07004830917874397
2024-09-08,0.1730909090909091,0,0,0.05603864734299517
2024-09-09,0.09578738776655443,1,0,0.0785024154589372
2024-09-10,0.07808080808080808,0,0,0.04669887278582931
2024-09-11,0.25182133838383836,0,0,0.10144927536231883
2024-09-12,0.12207459207459206,0,0,0.07023411371237458
2024-09-13,0.12069444444444444,1,0,0.07692307692307691
2024-09-14,0.08763888888888889,0,0,0.08031400966183574
2024-09-15,0.02,0,0,0.06956521739130435
2024-09-16,0.0744195632798574,0,0,0.06393861892583119
2024-09-17,0.03253787878787879,0,0,0.0644122383252818
2024-09-18,0.07419480519480519,0,0,0.05990338164251208
2024-09-19,0.12212121212121212,1,0,0.10540184453227931
2024-09-20,0.11699999999999999,0,0,0.08792270531400966
2024-09-21,0.19444444444444442,0,0,0.04589371980676329
2024-09-22,0.13636363636363635,0,0,0.08695652173913043
2024-09-23,0.11762707722385142,6,5,0.06685366993922394
2024-09-24,0.03202555509007122,6,4,0.08150225962287673
2024-09-25,0.12819041252864782,7,6,0.07814720090934923
2024-09-26,0.1746684894053315,2,2,0.06331045003813883
2024-09-27,0.13140019890019888,7,5,0.08081995038516777
2024-09-28,0.25,0,0,0.06763285024154589
2024-09-29,0.17066666666666666,0,1,0.04444444444444444
2024-09-30,0.0796367525793363,6,6,0.10510906163080076
2024-10-01,0.07235080395794681,6,5,0.07108350586611456
2024-10-02,0.03839646464646465,0,0,0.05507246376811594
2024-10-03,0.14217111592111592,6,7,0.10091250670960815
2024-10-04,0.028982683982683985,1,1,0.06884057971014493
2024-10-05,0.2794191919191919,1,0,0.10305958132045089
2024-10-06,0.25,0,0,0.03864734299516908
2024-10-07,0.08269944341372913,1,1,0.07211870255348517
2024-10-08,0.13193001443001443,13,11,0.06984702093397745
2024-10-09,0.14489917976760083,5,4,0.08543096872616322
2024-10-10,0.08490349927849927,4,3,0.07705314009661836
2024-10-11,0.07595158906134516,11,6,0.06786850477200423
2024-10-12,0.17920334295334295,0,0,0.24396135265700483
2024-10-13,0.2187121212121212,0,0,0.12681159420289853
2024-10-14,0.08510516657255787,13,9,0.0594412938458307
2024-10-15,0.07358247655122656,4,5,0.04820853462157809
2024-10-16,0.11054717261904763,4,4,0.05990338164251208
2024-10-17,0.0719745670995671,8,5,0.07198067632850241
2024-10-18,0.09763167388167387,6,6,0.06146001073537306
2024-10-19,0.42041666666666666,0,0,0.05434782608695652
2024-10-20,0.325,0,1,0.06099033816425121
2024-10-21,0.09376216712580349,6,4,0.04470794905577514
2024-10-22,0.011053391053391056,6,7,0.095952023988006
2024-10-23,0.09272059884559884,8,9,0.07282608695652174
2024-10-24,0.11405534941249226,7,6,0.07039337474120082
2024-10-25,0.011714578823953825,8,7,0.049818840579710144
2024-10-26,0.5083333333333333,0,0,0.08534621578099838
2024-10-27,0.19999999999999998,0,0,0.04710144927536232
2024-10-28,0.11493344777827537,4,2,0.054306180243211724
2024-10-29,0.13996364746364745,11,6,0.058714232627276104
2024-10-30,0.01888052603961695,10,6,0.061703996486605184
2024-10-31,0.09994711727666274,4,5,0.06126482213438735
2024-11-01,0.15076623376623377,1,3,0.08051529790660225
2024-11-02,0.5,0,0,0.04710144927536231
2024-11-03,0.13333333333333333,0,0,0.16908212560386474
2024-11-04,0.018936520007948578,3,8,0.09348478913696305
2024-11-05,0.07518219291475105,4,4,0.0520166273452421
2024-11-06,0.048717414831545264,12,11,0.05096968424000559
2024-11-07,0.1740491651205937,4,5,0.06711525189786059
2024-11-08,0.042423949923949926,4,4,0.07468337903120512
2024-11-09,0.205703125,0,0,0.0464975845410628
2024-11-10,0.321875,0,0,0.043478260869565216
2024-11-11,0.03313058117405943,4,3,0.07456416719176642
2024-11-12,0.07669491265235946,3,3,0.04964539007092198
2024-11-13,0.03529740821948614,6,6,0.04536043666478449
2024-11-14,0.033363303363303363,3,3,0.0499194847020934
2024-11-15,0.29245949288806433,1,1,0.14423740510697033
2024-11-16,0.7333333333333334,0,0,0.06763285024154589
2024-11-17,0.5249999999999999,0,0,0.16425120772946858
2024-11-18,0.0931580584166791,3,2,0.06080293186739963
2024-11-19,0.05885181485181485,3,3,0.048309178743961345
2024-11-20,0.2128447742733457,1,1,0.13940648723257418
2024-11-21,0.07113455624061685,7,8,0.05631191138437515
2024-11-22,0.05491788280448074,4,4,0.050948752427909756
2024-11-23,0.375,0,0,0.03864734299516908
2024-11-24,0.2830909090909091,0,1,0.08985507246376812
2024-11-25,0.07180859157344306,9,8,0.05074855311618118
2024-11-26,0.07584224943981041,8,4,0.037469070342877345
2024-11-27,0.07443985071682914,10,5,0.03506759809543669
2024-11-28,0.05094348813098813,9,4,0.03685206946076511
2024-11-29,0.04284056895485467,13,7,0.03130434782608695
2024-11-30,0.29309090909090907,0,0,0.03961352657004831
2024-12-01,0.19321212121212122,0,0,0.049275362318840575
2024-12-02,0.03989024499726554,15,10,0.03150023161935014
2024-12-03,0.07607901312779361,14,10,0.03923647932131495
2024-12-04,0.030407370407370408,13,5,0.02242041372476155
2024-12-05,0.03418472407902556,9,7,0.040103722648479674
2024-12-06,0.035444046694046695,10,8,0.03963830050786572
